Artist,Instruments,First Year Active,Last Year Active,Genres,Labels,Listeners on LastFM,Listeners on spotify,Most popular song listenings on Spotify,Scrobbles,Deezer fans number,Latest Release,Born,Died,Last FM,Wiki,Deezer,Spotify
George Benson,"Vocals, guitar",1954,present[1],"Jazz, R&B, funk, soul","Prestige, Columbia, Verve, A&M, CTI, Warner Bros., GRP, Concord, Mascot",583900,3286546,49243580,6300000,486987,Weekend in London (Live),22 March 1943 ,,https://www.last.fm/music/George+Benson,https://en.wikipedia.org/wiki/George_Benson,https://www.deezer.com/us/artist/4029,https://open.spotify.com/artist/4N8BwYTEC6XqykGvXXlmfv
Jim Hall,Guitar,1955,2013,"Jazz, cool jazz, post-bop","CTI, Concord, Telarc, ArtistShare",124600,745103,41488926,948300,30521,Sleepless Times,4 December 1930,10 December 2013,https://www.last.fm/music/Jim+Hall,https://en.wikipedia.org/wiki/Jim_Hall_(musician),https://www.deezer.com/us/artist/15520,https://open.spotify.com/artist/5pMmqpG3HsoJ6EDDoXGXEr
Lenny Breau,Guitar,1956,1984,"Jazz, country","RCA, Adelphi",13900,8819,62819,136000,614,LA Bootleg 1984,5 August 1941,12 August 1984,https://www.last.fm/music/Lenny+Breau,https://en.wikipedia.org/wiki/Lenny_Breau,https://www.deezer.com/us/artist/274295,https://open.spotify.com/artist/5ZNvJC7YIhztLqxS58c1or
Pat Martino,Guitar,1959,present,"Jazz fusion, mainstream jazz, soul jazz","Prestige, Warner Bros, Muse, Blue Note, HighNote",101400,61084,256612,762300,4675,First Light (First Light; Joyous Lake & Starbright),25 August 1944 ,,https://www.last.fm/music/Pat+Martino,https://en.wikipedia.org/wiki/Pat_Martino,https://www.deezer.com/us/artist/66102,https://open.spotify.com/artist/4DlMMgnldzX6OkCskmeGKz
Grant Green,Guitar,1959 ,,"Jazz, bebop, hard bop, soul jazz, jazz blues, jazz-funk",,288600,368047,8740157,2800000,18255,God Bless the Child,6 June 1935,31 January 1979,https://www.last.fm/music/Grant+Green,https://en.wikipedia.org/wiki/Grant_Green,https://www.deezer.com/us/artist/8437,https://open.spotify.com/artist/6dAtGAnHCQ1ujMUZ9Ep82k
Gene Bertoncini,Guitar,1960s,present,Jazz,"MPS, Stash, Chiaroscuro, Concord, Motéma",3165,809,7686,23100,62,Concerti,6 April 1937 ,,https://www.last.fm/music/Gene+Bertoncini,https://en.wikipedia.org/wiki/Gene_Bertoncini,https://www.deezer.com/us/artist/107958,https://open.spotify.com/artist/3ATJ09aVV7r7szOlQCnHMp
Ted Greene,Guitar,,,"Rock, blues, jazz",,7181,14261,919081,49400,553,Ted Greene: Solo Guitar,26 September 1946,23 July 2005,https://www.last.fm/music/Ted+Greene,https://en.wikipedia.org/wiki/Ted_Greene,https://www.deezer.com/us/artist/1278020,https://open.spotify.com/artist/5GPOtnbe7RBHBUur5OzpO3
Don Mock,,,,,,152,50,3390,2075,13,Speed Of Light,,,https://www.last.fm/music/Don+Mock,,https://www.deezer.com/us/artist/3041261,https://open.spotify.com/artist/4KzRv6nTemum0etCpZQevQ
John McLaughlin,Guitar,1963,present,"Jazz, Jazz rock, jazz fusion, world fusion, progressive rock, psychedelic rock","Columbia, Verve",179500,211551,6204432,1600000,35004,Live in San Francisco (feat. The 4th Dimension & The Invisible Whip),4 January 1942 ,,https://www.last.fm/music/John+McLaughlin,https://en.wikipedia.org/wiki/John_McLaughlin_(musician),https://www.deezer.com/us/artist/15326,https://open.spotify.com/artist/4v0R1feRiuCDch7aAheVhY
Martin Taylor,Guitar,1964,present,Jazz,"Linn, Acoustic Disc, Sony, Columbia",26700,14599,228394,238300,2410,Love Songs,20 October 1956 ,,https://www.last.fm/music/Martin+Taylor,https://en.wikipedia.org/wiki/Martin_Taylor_(guitarist),https://www.deezer.com/us/artist/73688,https://open.spotify.com/artist/3ZNRPH9WeMybGggbmNOE62
Larry Coryell,Guitar,1965,2017,"Jazz, jazz fusion, free jazz, pop, classical","Vanguard, Arista, Novus, Muse, Shanachie, Chesky, Wide Hive, Patuxent",65600,34703,388021,462200,8033,Bolero (Remaster),2 April 1943,19 February 2017,https://www.last.fm/music/Larry+Coryell,https://en.wikipedia.org/wiki/Larry_Coryell,https://www.deezer.com/us/artist/143263,https://open.spotify.com/artist/25s8YpOLWqI2SgTlvapJyQ
