Artist,Instruments,First Year Active,Last Year Active,Genres,Labels,Listeners on LastFM,Listeners on spotify,Most popular song listenings on Spotify,Scrobbles,Deezer fans number,Latest Release,Born,Died,Last FM,Wiki,Deezer,Spotify
Michel Petrucciani,Piano,1975,1999,Jazz,"Blue Note, Dreyfus",119500,51201,861729,1100000,35240,Colors,28 December 1962,6 January 1999,https://www.last.fm/music/Michel+Petrucciani,https://en.wikipedia.org/wiki/Michel_Petrucciani,https://www.deezer.com/us/artist/15978,https://open.spotify.com/artist/13kHQ586h4Lm9iwVyS2b3K
Fred Hersch,Piano,1977,present,Jazz,"Sunnyside, Chesky, Nonesuch, Palmetto",47200,54228,1040916,369900,2207,Lonely Woman (feat. Benoît Delbecq) - Single,21 October 1955 ,,https://www.last.fm/music/Fred+Hersch,https://en.wikipedia.org/wiki/Fred_Hersch,https://www.deezer.com/us/artist/63643,https://open.spotify.com/artist/7w7DFqQNjVMW5NRvjM8JPx
Billy Childs,,,,,,9451,59784,675131,43800,256,Acceptance,8 March 1957 ,,https://www.last.fm/music/Billy+Childs,,https://www.deezer.com/us/artist/127514,https://open.spotify.com/artist/2DalOaFXdbHCB4cyMJhQtR
Lars Jansson Trio,,,,,,3851,2316,177319,57400,70,Just This,,,https://www.last.fm/music/Lars+Jansson+Trio,,https://www.deezer.com/us/artist/1603815,https://open.spotify.com/artist/0VfeNMnzhhUyyFwvyi3yJk
Brad Mehldau,Piano,Late,1980s,"Jazz, post-bop","Warner Bros., Nonesuch",314200,693425,3128309,4400000,49677,Suite: April 2020,23 August 1970 ,,https://www.last.fm/music/Brad+Mehldau,https://en.wikipedia.org/wiki/Brad_Mehldau,https://www.deezer.com/us/artist/3964,https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq
Edward Simon,Piano,1988,present,"Jazz, Latin jazz, world fusion","AudioQuest, Sunnyside, CAM Jazz",11700,215715,922232,53500,229,Sorrows & Triumphs (with Afinidad & Imani Winds),,,https://www.last.fm/music/Edward+Simon,https://en.wikipedia.org/wiki/Edward_Simon_(musician),https://www.deezer.com/us/artist/404079,https://open.spotify.com/artist/0FAC6FNPb4LsY5uyp0xTWF
Bugge Wesseltoft,Piano keyboards electronic instruments percussion,,,"Jazz, nu jazz, electronica","Jazzland Recordings, ECM Records",220300,211555,1033998,2900000,6597,Space Sailors (feat. Dan Berglund),1 February 1964 ,,https://www.last.fm/music/Bugge+Wesseltoft,https://en.wikipedia.org/wiki/Bugge_Wesseltoft,https://www.deezer.com/us/artist/8024,https://open.spotify.com/artist/4p35pLn1lRgqoVVsnqNZEK
Jacky Terrasson,Piano,1990s,present,Jazz,"Blue Note, Impulse!",100700,367482,3654680,538200,7647,53,27 November 1965 ,,https://www.last.fm/music/Jacky+Terrasson,https://en.wikipedia.org/wiki/Jacky_Terrasson,https://www.deezer.com/us/artist/506,https://open.spotify.com/artist/2I5A4xP3QGJEDKGhhXMAVr
Esbjörn Svensson Trio,,1993 ,2008 ,"Jazz, instrumental music, bebop",ACT,370000,413242,15033912,7100000,17841,The Second Page,,,https://www.last.fm/music/Esbjörn+Svensson+Trio,https://en.wikipedia.org/wiki/Esbjörn_Svensson_Trio,https://www.deezer.com/us/artist/5807,https://open.spotify.com/artist/3HJzLaMbS0jMabxS3wttGk
Lynne Arriale Trio,,,,,,5482,14098,601015,29700,134,Chimes of Freedom,,,https://www.last.fm/music/Lynne+Arriale+Trio,,https://www.deezer.com/us/artist/99672,https://open.spotify.com/artist/5aSW8XbsteHFgFPYpp1s3x
Vijay Iyer,Piano,,,Jazz,"Pi, Artists House, Savoy, ACT, ECM",33900,14752,1059191,314500,1688,Sensorium,26 October 1971 ,,https://www.last.fm/music/Vijay+Iyer,https://en.wikipedia.org/wiki/Vijay_Iyer,https://www.deezer.com/us/artist/406118,https://open.spotify.com/artist/27DeRe5LjIt9ZPXUjF90h6
Myriam Alter,,,,,,8372,33140,795313,78200,251,It Takes Two,26 September 1945 ,,https://www.last.fm/music/Myriam+Alter,,https://www.deezer.com/us/artist/331778,https://open.spotify.com/artist/4pyOzuuAajiixTAjYa0TFZ
Aaron Goldberg,Piano,1995,present,Jazz,Sunnyside,156000,120242,7774082,478800,956,At the Edge of the World,30 April 1974 ,,https://www.last.fm/music/Aaron+Goldberg,https://en.wikipedia.org/wiki/Aaron_Goldberg,https://www.deezer.com/us/artist/400234,https://open.spotify.com/artist/0BTfBwYC5Mw5ezDg91JBma
Jacob Karlzon,,,,,,11400,23972,298478,58300,590,How It Ends,19 October 1970 ,,https://www.last.fm/music/Jacob+Karlzon,,https://www.deezer.com/us/artist/2703081,https://open.spotify.com/artist/3R4vdaqhh9jn2fOCned9nM
Hiromi,,,,,,96200,126046,3065515,1600000,17035,Tokyo Otemoyan,,,https://www.last.fm/music/Hiromi,,https://www.deezer.com/us/artist/15354,https://open.spotify.com/artist/7DeuppKQdCVhuWrzzCBBpc
Nik Bärtsch,,,,,,12600,18234,805263,123700,450,Hishiryo - Piano Solo,3 August 1971 ,,https://www.last.fm/music/Nik+Bärtsch,,https://www.deezer.com/us/artist/250426,https://open.spotify.com/artist/2tVApsyMhUNv0jc7r18YUd
Triosence,,1999,present,Jazz,Mons,34900,73857,8893018,230400,4028,scorpio rising,,,https://www.last.fm/music/Triosence,https://en.wikipedia.org/wiki/Triosence,https://www.deezer.com/us/artist/334186,https://open.spotify.com/artist/2NxFqOk7uZCe0hxfohdWJX
Martin Tingvall,,,,,,4337,9425,184236,52500,375,The Rocket in Space,1974 ,,https://www.last.fm/music/Martin+Tingvall,,https://www.deezer.com/us/artist/1656157,https://open.spotify.com/artist/1pP9ANPPJiSJxP3k22jLPj
The Bad Plus,,2000,present,"Jazz, avant-garde jazz",,255800,147605,3482280,3500000,7777,Activate Infinity,,,https://www.last.fm/music/The+Bad+Plus,https://en.wikipedia.org/wiki/The_Bad_Plus,https://www.deezer.com/us/artist/1717,https://open.spotify.com/artist/5qOfTfMzTj2dvvpWKzIFk6
Helge Lien Trio,,,,,,32400,92041,4657202,306800,2299,Nipa Revisited - Single,,,https://www.last.fm/music/Helge+Lien+Trio,,https://www.deezer.com/us/artist/277760,https://open.spotify.com/artist/4kWBvU5JdoohnGYl7SMlfY
Tigran Hamasyan,Piano vocals,2001,present,"Jazz, progressive rock, Armenian folk",,77300,214713,1569513,1400000,18582,The Call Within,17 July 1987 ,,https://www.last.fm/music/Tigran+Hamasyan,https://en.wikipedia.org/wiki/Tigran_Hamasyan,https://www.deezer.com/us/artist/150420,https://open.spotify.com/artist/0D3h8NZqNp7BN97JwtV6eW
Aaron Parks,,,,,,47400,58454,625048,528200,4778,Move (feat. Óskar Guðjónsson & UNIFONY) - Single,,,https://www.last.fm/music/Aaron+Parks,https://en.wikipedia.org/wiki/Aaron_Parks,https://www.deezer.com/us/artist/242181,https://open.spotify.com/artist/22KzEvCtrTGf9l6k7zFcdv
Gerald Clayton,Piano,,,Jazz,"Concord, Verve, ArtistShare, Motéma",17400,58068,268159,130699,1917,Happening: Live at the Village Vanguard,11 May 1984 ,,https://www.last.fm/music/Gerald+Clayton,https://en.wikipedia.org/wiki/Gerald_Clayton,https://www.deezer.com/us/artist/294562,https://open.spotify.com/artist/5mYw31MXiGnqTMliAcl7m8
Robert Glasper,"Piano, fender rhodes, keyboard",2003,present,"Jazz, hip hop, soul, R&B, neo soul","Sounds of Crenshaw, Loma Vista, Columbia, Legacy, Blue Note, Fresh Sounds",186800,1907232,4919445,2100000,24800,Fuck Yo Feelings (Instrumentals),5 April 1978 ,,https://www.last.fm/music/Robert+Glasper,https://en.wikipedia.org/wiki/Robert_Glasper,https://www.deezer.com/us/artist/215702,https://open.spotify.com/artist/5cM1PvItlR21WUyBnsdMcn
Franz Von Chossy,,,,,,647,353,20427,10600,78,Life Theater,,,https://www.last.fm/music/Franz+Von+Chossy,,https://www.deezer.com/us/artist/5376696,https://open.spotify.com/artist/2DQEpToQes76hFE8oDr6ts
Alboran Trio,,2004-present,,jazz,,7632,5313,535614,70700,194,Near Gale,,,https://www.last.fm/music/Alboran+Trio,https://en.wikipedia.org/wiki/Alboran_Trio,https://www.deezer.com/us/artist/1976371,https://open.spotify.com/artist/5BAiqMRwZUKDmVbscImftU
Benedikt Jahnel Trio,,,,,,2803,2256,88474,43600,115,The Invariant,28 May 1980 ,,https://www.last.fm/music/Benedikt+Jahnel+Trio,,https://www.deezer.com/us/artist/161710,https://open.spotify.com/artist/7HcGEwGFOZo1xqYa3SJ6m3
Omer Klein,,,,,,8010,,,71400,161,Sleepwalkers,,,https://www.last.fm/music/Omer+Klein,,https://www.deezer.com/us/artist/6375414,
Espen Eriksen Trio,,2007 ,present,Jazz piano,,11000,41542,164319,129000,593,Perfectly Unhappy,,,https://www.last.fm/music/Espen+Eriksen+Trio,https://en.wikipedia.org/wiki/Espen_Eriksen_Trio,https://www.deezer.com/us/artist/396238,https://open.spotify.com/artist/57BkYLMXOYqJ7KHFhd1VST
Shai Maestro,,,,,,26600,63535,5779898,141500,4765,Human,,,https://www.last.fm/music/Shai+Maestro,https://en.wikipedia.org/wiki/Shai_Maestro,https://www.deezer.com/us/artist/5181414,https://open.spotify.com/artist/0ctjXj4AKsMtj6Tsm0JzSj
Marcin Wasilewski Trio,,,,,,65000,240151,5784304,535600,1174,Arco,,,https://www.last.fm/music/Marcin+Wasilewski+Trio,,https://www.deezer.com/us/artist/75509,https://open.spotify.com/artist/2UGL8QDKTSVXMqZqQR8DRL
Tingvall Trio,,,,,,30700,247114,894509,518400,2399,Dance,,,https://www.last.fm/music/Tingvall+Trio,,https://www.deezer.com/us/artist/392255,https://open.spotify.com/artist/65mwyp96M7Yx78x8XVz39M
Greg Foat,,,,,,14300,107312,610113,99500,232,Symphonie Pacifique,,,https://www.last.fm/music/Greg+Foat,,https://www.deezer.com/us/artist/9462270,https://open.spotify.com/artist/20HVrU8f5rcNg2aZkMiSP0
GoGo Penguin,,2012 ,present,"Jazz, Electronica, trip hop, ambient, experimental, minimalist","Blue Note Records, Gondwana Records",140700,373034,10353283,3100000,25080,GoGo Penguin,,,https://www.last.fm/music/GoGo+Penguin,https://en.wikipedia.org/wiki/GoGo_Penguin,https://www.deezer.com/us/artist/4052492,https://open.spotify.com/artist/19f2JXwlRU26376TCKmp6L
Lund Quartet,,,,,,22300,47803,1371862,205600,1378,Sequoia - Single,,,https://www.last.fm/music/Lund+Quartet,,https://www.deezer.com/us/artist/1570070,https://open.spotify.com/artist/6GUoU3k0b3qF1T06UvyAhk
Maria Chiara Argirò,,,,,,538,914,2877,3565,14,Hidden Seas (Remixed) - Single,,,https://www.last.fm/music/Maria+Chiara+Argirò,,https://www.deezer.com/us/artist/11279272,https://open.spotify.com/artist/2uz9ERD3U5c4F2CZDS0mzb
Alfa Mist,,,,,,75900,344956,4507049,996700,7372,Epoch,,,https://www.last.fm/music/Alfa+Mist,,https://www.deezer.com/us/artist/4660257,https://open.spotify.com/artist/2i1CPudyCUjL50Wqjv8AMI
The Simon Lasky Group,,,,,,17,20,,86,1,"Story Inside (feat. Simon Lasky, Shanti Jayasinha, Luca Boscagin, SatinSingh, Pete Billington & Jeff Lardner)",,,https://www.last.fm/music/The+Simon+Lasky+Group,,https://www.deezer.com/us/artist/7644482,https://open.spotify.com/artist/3EtT94BXcyW0VXt45NykHX
George Van Eps,Seven-string guitar,1924,1998,"Jazz, swing","Capitol, Concord Jazz",3714,2173,35327,24900,156,Keepin' Time,7 August 1913,29 November 1998,https://www.last.fm/music/George+Van+Eps,https://en.wikipedia.org/wiki/George_Van_Eps,https://www.deezer.com/us/artist/453979,https://open.spotify.com/artist/6QL3lIEWRff6Nn0Iy1yIps
